=== Intra-network pings for net_1 ===
2025/06/28 12:05:25 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_1] clab-nebula-serf14 (10.0.1.23): 20.153ms (test duration: 74ms)
2025/06/28 12:05:25 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_1] clab-nebula-serf7 (10.0.1.16): 5.112ms (test duration: 64ms)
2025/06/28 12:05:25 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_1] clab-nebula-serf8 (10.0.1.17): 6.844ms (test duration: 68ms)
2025/06/28 12:05:25 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_1] clab-nebula-serf9 (10.0.1.18): 4.945ms (test duration: 80ms)
2025/06/28 12:05:25 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_1] clab-nebula-serf10 (10.0.1.19): 4.820ms (test duration: 73ms)
2025/06/28 12:05:25 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_1] clab-nebula-serf11 (10.0.1.20): 3.528ms (test duration: 64ms)
2025/06/28 12:05:25 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_1] clab-nebula-serf12 (10.0.1.21): 12.442ms (test duration: 70ms)
2025/06/28 12:05:25 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_1] clab-nebula-serf13 (10.0.1.22): 9.253ms (test duration: 63ms)
2025/06/28 12:05:25 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_1] clab-nebula-serf14 (10.0.1.23): 12.465ms (test duration: 64ms)
2025/06/28 12:05:25 [net_1] clab-nebula-serf7 (10.0.1.16) → [net_1] clab-nebula-serf8 (10.0.1.17): 7.349ms (test duration: 73ms)
2025/06/28 12:05:25 [net_1] clab-nebula-serf7 (10.0.1.16) → [net_1] clab-nebula-serf9 (10.0.1.18): 5.418ms (test duration: 69ms)
2025/06/28 12:05:25 [net_1] clab-nebula-serf7 (10.0.1.16) → [net_1] clab-nebula-serf10 (10.0.1.19): 4.762ms (test duration: 69ms)
2025/06/28 12:05:26 [net_1] clab-nebula-serf7 (10.0.1.16) → [net_1] clab-nebula-serf11 (10.0.1.20): 4.534ms (test duration: 73ms)
2025/06/28 12:05:26 [net_1] clab-nebula-serf7 (10.0.1.16) → [net_1] clab-nebula-serf12 (10.0.1.21): 12.632ms (test duration: 72ms)
