hilbert_order,q_node,threshold,gt,found,tp,fp,fn,precision,recall,jaccard
2,clab-nebula-serf127,25,60,155,60,95,0,0.3871,1.0,0.3871
2,clab-nebula-serf129,25,17,138,17,121,0,0.1232,1.0,0.1232
2,clab-nebula-serf155,25,14,18,14,4,0,0.7778,1.0,0.7778
2,clab-nebula-serf3,25,22,66,21,45,1,0.3182,0.9545,0.3134
2,clab-nebula-serf14,25,70,101,70,31,0,0.6931,1.0,0.6931
2,clab-nebula-serf142,25,7,144,6,138,1,0.0417,0.8571,0.0414
2,clab-nebula-serf96,25,20,144,19,125,1,0.1319,0.95,0.131
2,clab-nebula-serf116,25,0,0,0,0,0,1.0,1.0,1.0
2,clab-nebula-serf56,25,97,109,93,16,4,0.8532,0.9588,0.823
2,clab-nebula-serf59,25,99,128,94,34,5,0.7344,0.9495,0.7068
2,clab-nebula-serf70,25,87,126,82,44,5,0.6508,0.9425,0.626
2,clab-nebula-serf81,25,90,128,85,43,5,0.6641,0.9444,0.6391
2,clab-nebula-serf95,25,80,128,76,52,4,0.5938,0.95,0.5758
2,clab-nebula-serf114,25,25,138,25,113,0,0.1812,1.0,0.1812
2,clab-nebula-serf9,25,71,101,69,32,2,0.6832,0.9718,0.6699
2,clab-nebula-serf17,25,85,101,82,19,3,0.8119,0.9647,0.7885
2,clab-nebula-serf139,25,21,161,21,140,0,0.1304,1.0,0.1304
2,clab-nebula-serf52,25,88,109,84,25,4,0.7706,0.9545,0.7434
2,clab-nebula-serf71,25,83,126,78,48,5,0.619,0.9398,0.5954
2,clab-nebula-serf26,25,87,109,83,26,4,0.7615,0.954,0.7345
2,clab-nebula-serf34,25,85,101,81,20,4,0.802,0.9529,0.7714
2,clab-nebula-serf126,25,59,155,59,96,0,0.3806,1.0,0.3806
2,clab-nebula-serf36,25,79,101,76,25,3,0.7525,0.962,0.7308
2,clab-nebula-serf82,25,0,5,0,5,0,0.0,0.0,0.0
2,clab-nebula-serf85,25,57,130,55,75,2,0.4231,0.9649,0.4167
2,clab-nebula-serf97,25,17,144,16,128,1,0.1111,0.9412,0.1103
2,clab-nebula-serf99,25,24,144,23,121,1,0.1597,0.9583,0.1586
2,clab-nebula-serf124,25,29,155,29,126,0,0.1871,1.0,0.1871
2,clab-nebula-serf157,25,16,155,16,139,0,0.1032,1.0,0.1032
2,clab-nebula-serf159,25,16,155,16,139,0,0.1032,1.0,0.1032
2,clab-nebula-serf1,25,37,101,37,64,0,0.3663,1.0,0.3663
2,clab-nebula-serf33,25,90,109,86,23,4,0.789,0.9556,0.7611
2,clab-nebula-serf123,25,42,138,42,96,0,0.3043,1.0,0.3043
2,clab-nebula-serf135,25,15,155,14,141,1,0.0903,0.9333,0.0897
2,clab-nebula-serf13,25,76,101,76,25,0,0.7525,1.0,0.7525
2,clab-nebula-serf47,25,82,101,80,21,2,0.7921,0.9756,0.7767
2,clab-nebula-serf84,25,35,130,33,97,2,0.2538,0.9429,0.25
2,clab-nebula-serf92,25,77,128,73,55,4,0.5703,0.9481,0.553
2,clab-nebula-serf106,25,27,138,27,111,0,0.1957,1.0,0.1957
2,clab-nebula-serf108,25,46,138,46,92,0,0.3333,1.0,0.3333
2,clab-nebula-serf119,25,3,4,2,2,1,0.5,0.6667,0.4
2,clab-nebula-serf125,25,58,155,58,97,0,0.3742,1.0,0.3742
2,clab-nebula-serf54,25,83,101,79,22,4,0.7822,0.9518,0.7524
2,clab-nebula-serf57,25,90,109,86,23,4,0.789,0.9556,0.7611
2,clab-nebula-serf24,25,29,68,27,41,2,0.3971,0.931,0.3857
2,clab-nebula-serf42,25,38,101,38,63,0,0.3762,1.0,0.3762
2,clab-nebula-serf48,25,79,101,77,24,2,0.7624,0.9747,0.7476
2,clab-nebula-serf2,25,19,66,18,48,1,0.2727,0.9474,0.2687
2,clab-nebula-serf21,25,56,101,56,45,0,0.5545,1.0,0.5545
2,clab-nebula-serf67,25,76,128,72,56,4,0.5625,0.9474,0.5455
2,clab-nebula-serf102,25,21,144,20,124,1,0.1389,0.9524,0.1379
2,clab-nebula-serf110,25,15,57,15,42,0,0.2632,1.0,0.2632
2,clab-nebula-serf132,25,23,161,23,138,0,0.1429,1.0,0.1429
2,clab-nebula-serf134,25,16,155,15,140,1,0.0968,0.9375,0.0962
2,clab-nebula-serf137,25,20,161,20,141,0,0.1242,1.0,0.1242
2,clab-nebula-serf10,25,71,101,71,30,0,0.703,1.0,0.703
2,clab-nebula-serf46,25,54,101,53,48,1,0.5248,0.9815,0.5196
2,clab-nebula-serf74,25,82,126,77,49,5,0.6111,0.939,0.5878
2,clab-nebula-serf76,25,89,126,84,42,5,0.6667,0.9438,0.6412
2,clab-nebula-serf149,25,17,18,17,1,0,0.9444,1.0,0.9444
2,clab-nebula-serf20,25,46,70,43,27,3,0.6143,0.9348,0.589
2,clab-nebula-serf22,25,41,64,39,25,2,0.6094,0.9512,0.5909
2,clab-nebula-serf160,25,25,155,25,130,0,0.1613,1.0,0.1613
2,clab-nebula-serf31,25,80,101,78,23,2,0.7723,0.975,0.7573
2,clab-nebula-serf93,25,83,109,79,30,4,0.7248,0.9518,0.6991
2,clab-nebula-serf122,25,22,138,22,116,0,0.1594,1.0,0.1594
2,clab-nebula-serf38,25,82,101,79,22,3,0.7822,0.9634,0.7596
2,clab-nebula-serf55,25,83,101,79,22,4,0.7822,0.9518,0.7524
2,clab-nebula-serf79,25,96,126,91,35,5,0.7222,0.9479,0.6947
2,clab-nebula-serf113,25,28,138,28,110,0,0.2029,1.0,0.2029
2,clab-nebula-serf120,25,2,1,1,0,1,1.0,0.5,0.5
2,clab-nebula-serf128,25,48,138,48,90,0,0.3478,1.0,0.3478
2,clab-nebula-serf8,25,44,101,44,57,0,0.4356,1.0,0.4356
2,clab-nebula-serf27,25,24,63,22,41,2,0.3492,0.9167,0.3385
2,clab-nebula-serf78,25,80,128,76,52,4,0.5938,0.95,0.5758
2,clab-nebula-serf104,25,54,138,54,84,0,0.3913,1.0,0.3913
2,clab-nebula-serf133,25,16,161,16,145,0,0.0994,1.0,0.0994
2,clab-nebula-serf64,25,46,126,45,81,1,0.3571,0.9783,0.3543
2,clab-nebula-serf73,25,89,126,84,42,5,0.6667,0.9438,0.6412
2,clab-nebula-serf118,25,2,1,1,0,1,1.0,0.5,0.5
2,clab-nebula-serf5,25,19,43,18,25,1,0.4186,0.9474,0.4091
2,clab-nebula-serf87,25,49,133,49,84,0,0.3684,1.0,0.3684
2,clab-nebula-serf88,25,42,134,42,92,0,0.3134,1.0,0.3134
2,clab-nebula-serf153,25,12,18,12,6,0,0.6667,1.0,0.6667
2,clab-nebula-serf53,25,81,101,79,22,2,0.7822,0.9753,0.767
2,clab-nebula-serf69,25,84,126,79,47,5,0.627,0.9405,0.6031
2,clab-nebula-serf60,25,87,109,83,26,4,0.7615,0.954,0.7345
2,clab-nebula-serf145,25,7,144,6,138,1,0.0417,0.8571,0.0414
2,clab-nebula-serf6,25,68,101,68,33,0,0.6733,1.0,0.6733
2,clab-nebula-serf11,25,82,101,78,23,4,0.7723,0.9512,0.7429
2,clab-nebula-serf98,25,14,144,13,131,1,0.0903,0.9286,0.0897
2,clab-nebula-serf138,25,14,144,13,131,1,0.0903,0.9286,0.0897
2,clab-nebula-serf150,25,17,18,17,1,0,0.9444,1.0,0.9444
2,clab-nebula-serf18,25,75,101,75,26,0,0.7426,1.0,0.7426
2,clab-nebula-serf30,25,81,101,79,22,2,0.7822,0.9753,0.767
2,clab-nebula-serf44,25,81,101,79,22,2,0.7822,0.9753,0.767
