Loading input data...

=== Max RTT found in dataset: 83.2830 ms ===

=== Step 1: Normalization Range per Dimension ===
Dimension 0: min = -0.0202, max = 0.0239
Dimension 1: min = -0.0255, max = 0.0244
Dimension 2: min = -0.0236, max = 0.0344
Dimension 3: min = -0.0413, max = 0.0273
Dimension 4: min = -0.0105, max = 0.0475

=== Step 2: Building Hilbert Index Map ===
[Hilbert] clab-nebula-serf130 -> Vec: [0.000767787116262343, 0.009861795659454477, -0.014259380514583368, -0.0167819877250273, -0.0006518329495618878], NormVec: [60, 90, 20, 45, 21], Index: 17122064750
[Hilbert] clab-nebula-serf109 -> Vec: [-0.0033671802821424743, 0.001608431146109623, 0.0003093619796112974, -0.009953205864815538, 0.009372434907403778], NormVec: [48, 69, 52, 58, 43], Index: 16187859850
[Hilbert] clab-nebula-serf147 -> Vec: [-0.004571198579470111, -0.001795228489846464, -0.011610291481651987, -0.02261471722285057, 0.0001367197137788522], NormVec: [45, 60, 26, 34, 23], Index: 331147246
[Hilbert] clab-nebula-serf4 -> Vec: [-0.012996072587086675, -0.00700183682035319, -0.002380260329465399, 0.015012121724483489, 0.025617024703004], NormVec: [20, 47, 46, 104, 79], Index: 3072215474
[Hilbert] clab-nebula-serf100 -> Vec: [-0.012469806821647113, 0.008650971323673578, 0.008710901392255666, -0.014614406211989665, 0.012568845452653144], NormVec: [22, 86, 70, 49, 50], Index: 9603386455
[Hilbert] clab-nebula-serf75 -> Vec: [0.000162336972050912, 0.00030783723952684534, 0.001281970526331898, 0.00238458488789178, 0.014610310750268578], NormVec: [58, 65, 54, 80, 54], Index: 13957328947
[Hilbert] clab-nebula-serf89 -> Vec: [0.011363074076790599, 0.012784895992973493, 0.001313596389544829, 0.015788995225390522, 0.017477223167946254], NormVec: [91, 97, 54, 105, 61], Index: 20811780496
[Hilbert] clab-nebula-serf101 -> Vec: [-0.012411307195326939, 0.008326301920093563, 0.008779061808478459, -0.014498280578546364, 0.011856263495679958], NormVec: [22, 86, 70, 49, 48], Index: 9603387303
[Hilbert] clab-nebula-serf105 -> Vec: [-0.0025631476336040225, 0.0013508218138069128, 0.0007964249114944356, -0.010394889666230785, 0.010524404224678758], NormVec: [50, 68, 53, 57, 46], Index: 16187867084
[Hilbert] clab-nebula-serf65 -> Vec: [-0.002604579927570635, 0.00033168816424552843, 0.009819746550499851, 0.003104874260479856, 0.006738318215084734], NormVec: [50, 65, 73, 82, 37], Index: 11826364099
[Hilbert] clab-nebula-serf68 -> Vec: [-0.0014811341793675235, 0.0011924684204234193, 0.0022936648393401472, 0.0027337300933298558, 0.014246468362345712], NormVec: [54, 67, 56, 81, 54], Index: 13956793086
[Hilbert] clab-nebula-serf94 -> Vec: [0.00313005028797213, 0.003714986259105119, 0.001620710891019308, 0.005451578715700166, 0.012946579495276878], NormVec: [67, 74, 55, 86, 51], Index: 20402509941
[Hilbert] clab-nebula-serf103 -> Vec: [-0.013344938528570298, 0.008571096752417304, 0.008957905778451713, -0.014371759948850696, 0.011493392569554613], NormVec: [19, 86, 71, 49, 48], Index: 9603395745
[Hilbert] clab-nebula-serf117 -> Vec: [0.011737660732891347, 0.024371114583219503, 0.01388568409939011, -0.032074219387313495, 0.04752269500367636], NormVec: [92, 127, 82, 17, 127], Index: 24244573617
[Hilbert] clab-nebula-serf127 -> Vec: [-0.0018992765845883565, 0.0035641813497332806, -0.006799901867179385, -0.01818551723867623, 0.001284092525830368], NormVec: [52, 74, 36, 42, 25], Index: 17096606295
[Hilbert] clab-nebula-serf129 -> Vec: [-0.004823416653919614, 0.002923778012502915, -0.0006439862884042585, -0.011441643840914983, 0.010414788455592943], NormVec: [44, 72, 50, 55, 45], Index: 16193142102
[Hilbert] clab-nebula-serf155 -> Vec: [-0.004313255840800173, -0.002401445286508538, -0.011935232663385654, -0.02237105269693613, -0.0003609867405560167], NormVec: [45, 58, 25, 35, 22], Index: 331152233
[Hilbert] clab-nebula-serf3 -> Vec: [-0.02022189636824578, -0.0058720787199447785, -0.002042480457467479, 0.0228536541775481, 0.028195111312039566], NormVec: [0, 49, 47, 118, 84], Index: 3066004944
[Hilbert] clab-nebula-serf14 -> Vec: [-0.008250753836703026, -0.006794603525590929, -3.093618438863457e-05, 0.007770520180479225, 0.018149806142525746], NormVec: [34, 47, 51, 90, 62], Index: 3491156844
[Hilbert] clab-nebula-serf142 -> Vec: [-0.007362273048000391, 0.009491459158632077, -0.005228088961996356, -0.018496334464552896, -0.009023225701899144], NormVec: [37, 89, 40, 42, 3], Index: 17086730203
[Hilbert] clab-nebula-serf96 -> Vec: [-0.012763963189044472, 0.008853555511801893, 0.008946358490489753, -0.013914807507239087, 0.011828748194315144], NormVec: [21, 87, 71, 50, 48], Index: 9603387069
[Hilbert] clab-nebula-serf116 -> Vec: [0.006225205466429398, -0.011899688320235437, -0.002640293267731044, -0.03323265227990472, 0.03886922978782824], NormVec: [76, 34, 45, 15, 108], Index: 32934689434
[Hilbert] clab-nebula-serf56 -> Vec: [-0.004355901575075844, -0.004675880546575853, 0.001019574982576407, 0.005722719826022423, 0.014028530203684594], NormVec: [45, 53, 53, 87, 53], Index: 3496447213
[Hilbert] clab-nebula-serf59 -> Vec: [-0.003367714190297198, -0.004688926587017655, 0.001423267086737873, 0.003916391375566667, 0.012883148874196728], NormVec: [48, 53, 54, 83, 51], Index: 3500016363
[Hilbert] clab-nebula-serf70 -> Vec: [0.0005422577921094167, -0.0005992829619988814, 8.064527440331248e-05, 0.00300196025613832, 0.015049599375888211], NormVec: [59, 63, 51, 82, 55], Index: 3499757862
[Hilbert] clab-nebula-serf81 -> Vec: [-0.0016689818048820533, 0.0004888204934219554, 0.0009919484784465167, 0.00260621666794937, 0.013583686592225181], NormVec: [53, 66, 53, 81, 52], Index: 13956812017
[Hilbert] clab-nebula-serf95 -> Vec: [0.0021361101378809524, 0.003416885501719099, 0.0013993820088088356, 0.0047954452003369065, 0.012548714110521537], NormVec: [64, 73, 54, 85, 50], Index: 20402510430
[Hilbert] clab-nebula-serf114 -> Vec: [1.4827447811981113e-05, -0.0020030124205890182, 0.008968035349631814, -0.01972507389291441, 0.011986104867057343], NormVec: [58, 59, 71, 39, 49], Index: 8010627852
[Hilbert] clab-nebula-serf9 -> Vec: [-0.009487368802731225, -0.004923841870274196, -0.0012319911092885888, 0.011184058780229128, 0.019974752002915704], NormVec: [30, 52, 48, 97, 66], Index: 3079703507
[Hilbert] clab-nebula-serf17 -> Vec: [-0.0073088206861189305, -0.0055303752135385156, -0.0005139250585987755, 0.008161319808947713, 0.01704351039531317], NormVec: [37, 50, 50, 91, 60], Index: 3496551352
[Hilbert] clab-nebula-serf139 -> Vec: [0.0011787080431186878, 0.010611054717283661, -0.015456246142588394, -0.017792241041093344, -8.137903014129141e-05], NormVec: [61, 91, 17, 43, 22], Index: 17122053024
[Hilbert] clab-nebula-serf52 -> Vec: [-0.004956643625614562, -0.004762568842210784, 0.0006378007425845907, 0.005707808027268447, 0.013283569438035875], NormVec: [43, 52, 53, 87, 52], Index: 3496446723
[Hilbert] clab-nebula-serf71 -> Vec: [0.001541973865097938, -0.0003859067331471809, 0.0009187701601376261, 0.0028690907611996653, 0.014531241284677065], NormVec: [62, 63, 53, 81, 54], Index: 3499761979
