node,threshold,gt,found,fp,fn,precision,recall,jaccard,hilbert_order
clab-nebula-serf160,15,5,0,0,5,0,0.0,0.0,2
clab-nebula-serf1,20,19,0,0,19,0,0.0,0.0,2
clab-nebula-serf5,20,14,0,0,14,0,0.0,0.0,2
clab-nebula-serf10,20,40,0,0,40,0,0.0,0.0,2
clab-nebula-serf15,20,68,0,0,68,0,0.0,0.0,2
clab-nebula-serf20,20,26,0,0,26,0,0.0,0.0,2
clab-nebula-serf25,20,28,0,0,28,0,0.0,0.0,2
clab-nebula-serf30,20,45,0,0,45,0,0.0,0.0,2
clab-nebula-serf35,20,26,0,0,26,0,0.0,0.0,2
clab-nebula-serf40,20,35,0,0,35,0,0.0,0.0,2
clab-nebula-serf45,20,40,0,0,40,0,0.0,0.0,2
clab-nebula-serf50,20,41,0,0,41,0,0.0,0.0,2
clab-nebula-serf55,20,64,0,0,64,0,0.0,0.0,2
clab-nebula-serf60,20,70,0,0,70,0,0.0,0.0,2
clab-nebula-serf65,20,23,0,0,23,0,0.0,0.0,2
clab-nebula-serf70,20,66,0,0,66,0,0.0,0.0,2
clab-nebula-serf75,20,41,0,0,41,0,0.0,0.0,2
clab-nebula-serf80,20,55,0,0,55,0,0.0,0.0,2
clab-nebula-serf85,20,35,0,0,35,0,0.0,0.0,2
clab-nebula-serf90,20,49,0,0,49,0,0.0,0.0,2
clab-nebula-serf95,20,50,0,0,50,0,0.0,0.0,2
clab-nebula-serf100,20,14,0,0,14,0,0.0,0.0,2
clab-nebula-serf105,20,25,0,0,25,0,0.0,0.0,2
clab-nebula-serf110,20,7,0,0,7,0,0.0,0.0,2
clab-nebula-serf115,20,0,0,0,0,0,0,0,2
clab-nebula-serf120,20,2,0,0,2,0,0.0,0.0,2
clab-nebula-serf125,20,45,0,0,45,0,0.0,0.0,2
clab-nebula-serf130,20,13,0,0,13,0,0.0,0.0,2
clab-nebula-serf135,20,14,0,0,14,0,0.0,0.0,2
clab-nebula-serf140,20,13,0,0,13,0,0.0,0.0,2
clab-nebula-serf145,20,5,0,0,5,0,0.0,0.0,2
clab-nebula-serf150,20,9,0,0,9,0,0.0,0.0,2
clab-nebula-serf155,20,11,0,0,11,0,0.0,0.0,2
clab-nebula-serf160,20,10,0,0,10,0,0.0,0.0,2
clab-nebula-serf1,25,37,0,0,37,0,0.0,0.0,2
clab-nebula-serf5,25,19,0,0,19,0,0.0,0.0,2
clab-nebula-serf10,25,71,0,0,71,0,0.0,0.0,2
clab-nebula-serf15,25,88,0,0,88,0,0.0,0.0,2
clab-nebula-serf20,25,46,0,0,46,0,0.0,0.0,2
clab-nebula-serf25,25,44,0,0,44,0,0.0,0.0,2
clab-nebula-serf30,25,81,0,0,81,0,0.0,0.0,2
clab-nebula-serf35,25,63,0,0,63,0,0.0,0.0,2
clab-nebula-serf40,25,71,0,0,71,0,0.0,0.0,2
clab-nebula-serf45,25,80,0,0,80,0,0.0,0.0,2
clab-nebula-serf50,25,81,0,0,81,0,0.0,0.0,2
clab-nebula-serf55,25,83,0,0,83,0,0.0,0.0,2
clab-nebula-serf60,25,87,0,0,87,0,0.0,0.0,2
clab-nebula-serf65,25,62,0,0,62,0,0.0,0.0,2
clab-nebula-serf70,25,87,0,0,87,0,0.0,0.0,2
clab-nebula-serf75,25,76,0,0,76,0,0.0,0.0,2
clab-nebula-serf80,25,84,0,0,84,0,0.0,0.0,2
clab-nebula-serf85,25,57,0,0,57,0,0.0,0.0,2
clab-nebula-serf90,25,78,0,0,78,0,0.0,0.0,2
clab-nebula-serf95,25,80,0,0,80,0,0.0,0.0,2
clab-nebula-serf100,25,25,0,0,25,0,0.0,0.0,2
clab-nebula-serf105,25,54,0,0,54,0,0.0,0.0,2
clab-nebula-serf110,25,15,0,0,15,0,0.0,0.0,2
clab-nebula-serf115,25,0,0,0,0,0,0,0,2
clab-nebula-serf120,25,2,0,0,2,0,0.0,0.0,2
clab-nebula-serf125,25,58,0,0,58,0,0.0,0.0,2
clab-nebula-serf130,25,14,0,0,14,0,0.0,0.0,2
clab-nebula-serf135,25,15,0,0,15,0,0.0,0.0,2
clab-nebula-serf140,25,14,0,0,14,0,0.0,0.0,2
clab-nebula-serf145,25,7,0,0,7,0,0.0,0.0,2
clab-nebula-serf150,25,17,0,0,17,0,0.0,0.0,2
clab-nebula-serf155,25,14,0,0,14,0,0.0,0.0,2
clab-nebula-serf160,25,25,0,0,25,0,0.0,0.0,2
clab-nebula-serf1,30,74,0,0,74,0,0.0,0.0,2
clab-nebula-serf5,30,46,0,0,46,0,0.0,0.0,2
clab-nebula-serf10,30,88,0,0,88,0,0.0,0.0,2
clab-nebula-serf15,30,100,0,0,100,0,0.0,0.0,2
clab-nebula-serf20,30,80,0,0,80,0,0.0,0.0,2
clab-nebula-serf25,30,81,0,0,81,0,0.0,0.0,2
clab-nebula-serf30,30,93,0,0,93,0,0.0,0.0,2
clab-nebula-serf35,30,85,0,0,85,0,0.0,0.0,2
clab-nebula-serf40,30,87,0,0,87,0,0.0,0.0,2
clab-nebula-serf45,30,90,0,0,90,0,0.0,0.0,2
clab-nebula-serf50,30,93,0,0,93,0,0.0,0.0,2
clab-nebula-serf55,30,96,0,0,96,0,0.0,0.0,2
clab-nebula-serf60,30,111,0,0,111,0,0.0,0.0,2
clab-nebula-serf65,30,95,0,0,95,0,0.0,0.0,2
clab-nebula-serf70,30,110,0,0,110,0,0.0,0.0,2
clab-nebula-serf75,30,100,0,0,100,0,0.0,0.0,2
clab-nebula-serf80,30,110,0,0,110,0,0.0,0.0,2
clab-nebula-serf85,30,82,0,0,82,0,0.0,0.0,2
clab-nebula-serf90,30,101,0,0,101,0,0.0,0.0,2
clab-nebula-serf95,30,104,0,0,104,0,0.0,0.0,2
clab-nebula-serf100,30,59,0,0,59,0,0.0,0.0,2
clab-nebula-serf105,30,86,0,0,86,0,0.0,0.0,2
clab-nebula-serf110,30,37,0,0,37,0,0.0,0.0,2
clab-nebula-serf115,30,0,0,0,0,0,0,0,2
clab-nebula-serf120,30,3,1,0,2,1.0,0.3333333333333333,0.3333333333333333,2
clab-nebula-serf125,30,84,0,0,84,0,0.0,0.0,2
clab-nebula-serf130,30,24,0,0,24,0,0.0,0.0,2
clab-nebula-serf135,30,25,0,0,25,0,0.0,0.0,2
clab-nebula-serf140,30,25,0,0,25,0,0.0,0.0,2
clab-nebula-serf145,30,15,0,0,15,0,0.0,0.0,2
clab-nebula-serf150,30,23,0,0,23,0,0.0,0.0,2
clab-nebula-serf155,30,24,0,0,24,0,0.0,0.0,2
clab-nebula-serf160,30,37,0,0,37,0,0.0,0.0,2
clab-nebula-serf1,35,91,4,0,87,1.0,0.04395604395604396,0.04395604395604396,2
clab-nebula-serf5,35,80,3,0,77,1.0,0.0375,0.0375,2
clab-nebula-serf10,35,103,0,0,103,0,0.0,0.0,2
clab-nebula-serf15,35,117,0,0,117,0,0.0,0.0,2
clab-nebula-serf20,35,93,0,0,93,0,0.0,0.0,2
clab-nebula-serf25,35,93,0,0,93,0,0.0,0.0,2
clab-nebula-serf30,35,102,7,0,95,1.0,0.06862745098039216,0.06862745098039216,2
clab-nebula-serf35,35,95,0,0,95,0,0.0,0.0,2
clab-nebula-serf40,35,98,0,0,98,0,0.0,0.0,2
clab-nebula-serf45,35,118,0,0,118,0,0.0,0.0,2
clab-nebula-serf50,35,118,0,0,118,0,0.0,0.0,2
clab-nebula-serf55,35,119,0,0,119,0,0.0,0.0,2
clab-nebula-serf60,35,120,0,0,120,0,0.0,0.0,2
clab-nebula-serf65,35,115,0,0,115,0,0.0,0.0,2
clab-nebula-serf70,35,119,0,0,119,0,0.0,0.0,2
clab-nebula-serf75,35,115,0,0,115,0,0.0,0.0,2
